order_date,country,platform,signal_count,type3_count,type23_count,total_orders_count,total_items_count
2024-04-10,AM,Android,3139.0,2802.0,21756.0,24558.0,26576.0
2024-04-10,AM,IOS,2618.0,2346.0,19415.0,21761.0,25120.0
2024-04-10,AM,Site-RU,1702.0,1550.0,0.0,1550.0,2546.0
2024-04-10,BY,Android,3867.0,3498.0,193747.0,197245.0,232693.0
2024-04-10,BY,IOS,1965.0,1794.0,88753.0,90547.0,111518.0
2024-04-10,BY,Site-RU,3325.0,3008.0,0.0,3008.0,5490.0
2024-04-10,KG,Android,554.0,498.0,2077.0,2575.0,3309.0
2024-04-10,KG,IOS,400.0,374.0,1863.0,2237.0,2945.0
2024-04-10,KG,Site-RU,338.0,299.0,0.0,299.0,911.0
2024-04-10,KZ,Android,3760.0,3444.0,62621.0,66065.0,81410.0
2024-04-10,KZ,IOS,2778.0,2547.0,46395.0,48942.0,65330.0
2024-04-10,KZ,Site-RU,4341.0,3999.0,0.0,3999.0,7809.0
2024-04-10,RU,Android,6640256.0,5969877.0,5677.0,5975554.0,7799294.0
2024-04-10,RU,IOS,3966339.0,3579199.0,4779.0,3583978.0,5065328.0
2024-04-10,RU,Site-RU,853015.0,1108614.0,0.0,1108614.0,1861310.0
2024-04-10,UZ,Android,2433.0,2684.0,4.0,2688.0,3797.0
2024-04-10,UZ,IOS,1286.0,1707.0,3.0,1710.0,2413.0
2024-04-10,UZ,Site-RU,62.0,89.0,0.0,89.0,130.0
2024-04-11,AM,Android,3164.0,2831.0,43954.0,46785.0,50839.0
2024-04-11,AM,IOS,2592.0,2301.0,36901.0,39202.0,44677.0
2024-04-11,AM,Site-RU,1732.0,1545.0,0.0,1545.0,2390.0
2024-04-11,BY,Android,3699.0,3274.0,383422.0,386696.0,450777.0
2024-04-11,BY,IOS,1809.0,1626.0,168154.0,169780.0,207819.0
2024-04-11,BY,Site-RU,3258.0,2843.0,0.0,2843.0,5491.0
2024-04-11,KG,Android,635.0,583.0,5818.0,6401.0,8242.0
2024-04-11,KG,IOS,469.0,414.0,4113.0,4527.0,6323.0
2024-04-11,KG,Site-RU,390.0,329.0,0.0,329.0,727.0
2024-04-11,KZ,Android,3644.0,3308.0,152011.0,155319.0,191600.0
2024-04-11,KZ,IOS,2605.0,2367.0,100221.0,102588.0,137470.0
2024-04-11,KZ,Site-RU,4697.0,4208.0,0.0,4208.0,9184.0
2024-04-11,RU,Android,6643558.0,5845650.0,12652.0,5858302.0,7604452.0
2024-04-11,RU,IOS,3966935.0,3501662.0,9846.0,3511508.0,4925161.0
2024-04-11,RU,Site-RU,853917.0,1083673.0,0.0,1083673.0,1831388.0
2024-04-11,UZ,Android,2381.0,2349.0,13.0,2362.0,3324.0
2024-04-11,UZ,IOS,1103.0,1417.0,7.0,1424.0,2267.0
2024-04-11,UZ,Site-RU,66.0,94.0,0.0,94.0,128.0
2024-04-12,AM,Android,2793.0,2491.0,39182.0,41673.0,45334.0
2024-04-12,AM,IOS,2499.0,2170.0,33781.0,35951.0,41282.0
2024-04-12,AM,Site-RU,1544.0,1434.0,0.0,1434.0,2378.0
2024-04-12,BY,Android,3684.0,3248.0,367225.0,370473.0,432868.0
2024-04-12,BY,IOS,1913.0,1693.0,155179.0,156872.0,191310.0
2024-04-12,BY,Site-RU,3148.0,2905.0,0.0,2905.0,5229.0
2024-04-12,KG,Android,613.0,528.0,5622.0,6150.0,7950.0
2024-04-12,KG,IOS,467.0,426.0,4043.0,4469.0,6559.0
2024-04-12,KG,Site-RU,414.0,352.0,0.0,352.0,950.0
2024-04-12,KZ,Android,3319.0,2980.0,142188.0,145168.0,178761.0
2024-04-12,KZ,IOS,2601.0,2281.0,94190.0,96471.0,131035.0
2024-04-12,KZ,Site-RU,4276.0,3743.0,0.0,3743.0,7333.0
2024-04-12,RU,Android,6482162.0,5670030.0,12757.0,5682787.0,7357256.0
2024-04-12,RU,IOS,3720985.0,3287110.0,9462.0,3296572.0,4597879.0
2024-04-12,RU,Site-RU,800239.0,1042790.0,2.0,1042792.0,1746201.0
